,Link,PlayerName,Position,School,CollegeStats,Height,Weight,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Drafted,CombineYear,Draft Team,Round,Pick,Draft Year,Drafted?
13,https://www.pro-football-reference.com/draft/2021-combine.htm,Aaron Banks,OL,Notre Dame,https://www.sports-reference.com/cfb/players/aaron-banks-4.html,6-5,325,5.32,31.0,24,100,7.69,4.89,San Francisco 49ers / 2nd / 48th pick / 2021,2021,San Francisco 49ers , 2nd , 48th pick , 2021,Drafted
14,https://www.pro-football-reference.com/draft/2021-combine.htm,Cole Banwart,OL,Iowa,https://www.sports-reference.com/cfb/players/cole-banwart-1.html,6-1,298,5.12,27.5,22,103,7.50,4.70,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
15,https://www.pro-football-reference.com/draft/2021-combine.htm,Christian Barmore,DL,Alabama,https://www.sports-reference.com/cfb/players/christian-barmore-1.html,6-4,310,4.93,,,,,,New England Patriots / 2nd / 38th pick / 2021,2021,New England Patriots , 2nd , 38th pick , 2021,Drafted
16,https://www.pro-football-reference.com/draft/2021-combine.htm,Derrick Barnes,DE,Purdue,https://www.sports-reference.com/cfb/players/derrick-barnes-2.html,6-0,238,4.57,37.0,29,119,,4.27,Detroit Lions / 4th / 113th pick / 2021,2021,Detroit Lions , 4th , 113th pick , 2021,Drafted
17,https://www.pro-football-reference.com/draft/2021-combine.htm,Carlos Basham,DL,Wake Forest,https://www.sports-reference.com/cfb/players/carlos-basham-jr-1.html,6-3,274,4.64,34.0,20,122,7.13,4.25,Buffalo Bills / 2nd / 61st pick / 2021,2021,Buffalo Bills , 2nd , 61st pick , 2021,Drafted
18,https://www.pro-football-reference.com/draft/2021-combine.htm,Rashod Bateman,WR,Minnesota,https://www.sports-reference.com/cfb/players/rashod-bateman-1.html,6-0,190,4.39,36.0,,123,,,Baltimore Ravens / 1st / 27th pick / 2021,2021,Baltimore Ravens , 1st , 27th pick , 2021,Drafted
19,https://www.pro-football-reference.com/draft/2021-combine.htm,John Bates,TE,Boise St.,https://www.sports-reference.com/cfb/players/john-bates-1.html,6-5,250,4.84,31.5,19,120,6.85,4.35,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
20,https://www.pro-football-reference.com/draft/2021-combine.htm,Adam Bay,LS,Wisconsin,https://www.sports-reference.com/cfb/players/adam-bay-1.html,5-11,240,5.27,26.0,14,100,7.65,4.56,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
21,https://www.pro-football-reference.com/draft/2021-combine.htm,Tavante Beckett,LB,Marshall,https://www.sports-reference.com/cfb/players/tavante-beckett-1.html,5-10,220,4.78,31.0,18,106,7.34,4.58,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
22,https://www.pro-football-reference.com/draft/2021-combine.htm,Chase Behrndt,OL,West Virginia,https://www.sports-reference.com/cfb/players/chase-behrndt-1.html,6-3,324,5.55,24.5,25,101,8.21,4.93,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
23,https://www.pro-football-reference.com/draft/2021-combine.htm,Shaun Beyer,TE,Iowa,https://www.sports-reference.com/cfb/players/shaun-beyer-1.html,6-4,250,4.78,31.5,,119,,4.20,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
24,https://www.pro-football-reference.com/draft/2021-combine.htm,Tarik Black,WR,Texas,https://www.sports-reference.com/cfb/players/tarik-black-1.html,6-2,213,4.54,40.0,15,132,6.91,4.26,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
25,https://www.pro-football-reference.com/draft/2021-combine.htm,Josh Blancato,WR,Georgia Tech,https://www.sports-reference.com/cfb/players/josh-blancato-1.html,5-9,182,4.55,32.0,17,124,6.90,4.31,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
26,https://www.pro-football-reference.com/draft/2021-combine.htm,Joshuah Bledsoe,S,Missouri,https://www.sports-reference.com/cfb/players/joshuah-bledsoe-1.html,,,,,,,,,New England Patriots / 6th / 188th pick / 2021,2021,New England Patriots , 6th , 188th pick , 2021,Drafted
27,https://www.pro-football-reference.com/draft/2021-combine.htm,Quinton Bohanna,NT,Kentucky,https://www.sports-reference.com/cfb/players/quinton-bohanna-1.html,6-4,327,5.46,29.0,,99,8.21,5.15,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
28,https://www.pro-football-reference.com/draft/2021-combine.htm,Nick Bolton,LB,Missouri,https://www.sports-reference.com/cfb/players/nick-bolton-1.html,5-11,237,4.60,32.0,24,,7.40,4.50,Kansas City Chiefs / 2nd / 58th pick / 2021,2021,Kansas City Chiefs , 2nd , 58th pick , 2021,Drafted
29,https://www.pro-football-reference.com/draft/2021-combine.htm,Ian Book,QB,Notre Dame,https://www.sports-reference.com/cfb/players/ian-book-1.html,6-0,211,4.65,32.5,,115,6.99,4.19,New Orleans Saints / 4th / 133rd pick / 2021,2021,New Orleans Saints , 4th , 133rd pick , 2021,Drafted
30,https://www.pro-football-reference.com/draft/2021-combine.htm,Dicaprio Bootle,CB,Nebraska,https://www.sports-reference.com/cfb/players/dicaprio-bootle-1.html,5-9,180,4.38,36.5,16,126,6.77,4.03,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
31,https://www.pro-football-reference.com/draft/2021-combine.htm,Tuf Borland,LB,Ohio St.,https://www.sports-reference.com/cfb/players/tuf-borland-1.html,6-0,229,4.98,32.5,15,109,7.17,4.29,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
32,https://www.pro-football-reference.com/draft/2021-combine.htm,Larry Borom,OL,Missouri,https://www.sports-reference.com/cfb/players/larry-borom-1.html,6-5,322,5.12,31.0,,,,,Chicago Bears / 5th / 151st pick / 2021,2021,Chicago Bears , 5th , 151st pick , 2021,Drafted
33,https://www.pro-football-reference.com/draft/2021-combine.htm,Rakeem Boyd,RB,Arkansas,https://www.sports-reference.com/cfb/players/rakeem-boyd-2.html,5-11,213,4.70,32.5,6,98,7.22,4.38,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
34,https://www.pro-football-reference.com/draft/2021-combine.htm,Michael Boykin,DL,Louisville,https://www.sports-reference.com/cfb/players/michael-boykin-1.html,6-5,291,4.88,32.0,24,110,7.69,4.58,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
35,https://www.pro-football-reference.com/draft/2021-combine.htm,William Bradley-King,OLB,Baylor,https://www.sports-reference.com/cfb/players/william-bradley-king-1.html,6-3,252,4.74,34.5,,119,7.14,4.26,Washington Football Team / 7th / 240th pick / 2021,2021,Washington Football Team , 7th , 240th pick , 2021,Drafted
36,https://www.pro-football-reference.com/draft/2021-combine.htm,Brady Breeze,S,Oregon,https://www.sports-reference.com/cfb/players/brady-breeze-1.html,5-11,197,4.55,38.0,20,120,7.05,4.22,Tennessee Titans / 6th / 215th pick / 2021,2021,Tennessee Titans , 6th , 215th pick , 2021,Drafted
37,https://www.pro-football-reference.com/draft/2021-combine.htm,Gary Brightwell,RB,Arizona,https://www.sports-reference.com/cfb/players/gary-brightwell-1.html,5-10,218,4.62,34.5,17,118,7.51,4.48,New York Giants / 6th / 196th pick / 2021,2021,New York Giants , 6th , 196th pick , 2021,Drafted
38,https://www.pro-football-reference.com/draft/2021-combine.htm,K.J. Britt,LB,Auburn,https://www.sports-reference.com/cfb/players/kj-britt-1.html,6-0,235,4.76,32.5,24,118,7.38,4.40,Tampa Bay Buccaneers / 5th / 176th pick / 2021,2021,Tampa Bay Buccaneers , 5th , 176th pick , 2021,Drafted
39,https://www.pro-football-reference.com/draft/2021-combine.htm,Josiah Bronson,DL,Washington,https://www.sports-reference.com/cfb/players/josiah-bronson-1.html,6-2,304,5.08,30.0,27,101,7.63,4.72,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
40,https://www.pro-football-reference.com/draft/2021-combine.htm,Amon-Ra St. Brown,WR,USC,https://www.sports-reference.com/cfb/players/amon-ra-st-brown-1.html,5-11,197,4.51,38.5,20,127,6.88,4.17,Detroit Lions / 4th / 112th pick / 2021,2021,Detroit Lions , 4th , 112th pick , 2021,Drafted
41,https://www.pro-football-reference.com/draft/2021-combine.htm,Chris Brown,DB,Texas,https://www.sports-reference.com/cfb/players/chris-brown-18.html,5-10,191,4.55,36.0,15,118,6.85,4.18,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
42,https://www.pro-football-reference.com/draft/2021-combine.htm,Dyami Brown,WR,North Carolina,https://www.sports-reference.com/cfb/players/dyami-brown-1.html,6-0,189,4.46,35.0,18,128,6.87,4.35,Washington Football Team / 3rd / 82nd pick / 2021,2021,Washington Football Team , 3rd , 82nd pick , 2021,Drafted
43,https://www.pro-football-reference.com/draft/2021-combine.htm,Earnest Brown,DE,Northwestern,https://www.sports-reference.com/cfb/players/earnest-brown-iv-1.html,6-4,270,5.01,31.0,25,115,7.19,4.50,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
44,https://www.pro-football-reference.com/draft/2021-combine.htm,Kimere Brown,CB,Temple,https://www.sports-reference.com/cfb/players/kimere-brown-1.html,5-11,175,4.57,32.5,,124,7.37,4.32,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
45,https://www.pro-football-reference.com/draft/2021-combine.htm,Shakur Brown,CB,Michigan St.,https://www.sports-reference.com/cfb/players/shakur-brown-1.html,5-9,185,4.61,35.5,17,116,7.08,4.23,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
46,https://www.pro-football-reference.com/draft/2021-combine.htm,Tre Brown,CB,Oklahoma,https://www.sports-reference.com/cfb/players/tre-brown-2.html,5-9,185,4.42,38.0,13,123,7.11,4.27,Seattle Seahawks / 4th / 137th pick / 2021,2021,Seattle Seahawks , 4th , 137th pick , 2021,Drafted
47,https://www.pro-football-reference.com/draft/2021-combine.htm,Deonte Brown,OL,Alabama,https://www.sports-reference.com/cfb/players/deonte-brown-1.html,6-3,344,,27.0,,,,,Carolina Panthers / 6th / 193rd pick / 2021,2021,Carolina Panthers , 6th , 193rd pick , 2021,Drafted
48,https://www.pro-football-reference.com/draft/2021-combine.htm,Baron Browning,LB,Ohio St.,https://www.sports-reference.com/cfb/players/baron-browning-1.html,6-2,245,4.58,40.0,23,130,6.78,4.23,Denver Broncos / 3rd / 105th pick / 2021,2021,Denver Broncos , 3rd , 105th pick , 2021,Drafted
49,https://www.pro-football-reference.com/draft/2021-combine.htm,John Brunner,OL,North Texas,https://www.sports-reference.com/cfb/players/john-brunner-2.html,6-2,194,,32.5,11,121,6.77,4.30,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
50,https://www.pro-football-reference.com/draft/2021-combine.htm,Calvin Bundage,LB,Oklahoma St.,https://www.sports-reference.com/cfb/players/calvin-bundage-1.html,6-1,221,4.81,31.5,14,116,7.31,4.43,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
51,https://www.pro-football-reference.com/draft/2021-combine.htm,Lorenzo Burns,CB,Arizona,https://www.sports-reference.com/cfb/players/lorenzo-burns-1.html,5-10,183,4.56,33.5,14,123,7.55,4.51,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
52,https://www.pro-football-reference.com/draft/2021-combine.htm,Eric Burrell,S,Wisconsin,https://www.sports-reference.com/cfb/players/eric-burrell-1.html,5-11,197,4.73,35.5,8,124,7.21,4.26,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
53,https://www.pro-football-reference.com/draft/2021-combine.htm,Wesley Burris,LS,Kansas St.,https://www.sports-reference.com/cfb/players/wesley-burris-1.html,5-9,203,5.30,30.0,12,102,7.51,4.74,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
54,https://www.pro-football-reference.com/draft/2021-combine.htm,Jake Burton,OL,Baylor,https://www.sports-reference.com/cfb/players/jake-burton-1.html,6-5,303,5.49,26.0,22,100,8.22,4.97,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
55,https://www.pro-football-reference.com/draft/2021-combine.htm,Camryn Bynum,CB,California,https://www.sports-reference.com/cfb/players/camryn-bynum-1.html,6-0,196,4.58,34.0,,129,6.99,4.10,Minnesota Vikings / 4th / 125th pick / 2021,2021,Minnesota Vikings , 4th , 125th pick , 2021,Drafted
56,https://www.pro-football-reference.com/draft/2021-combine.htm,Jalen Camp,WR,Georgia Tech,https://www.sports-reference.com/cfb/players/jalen-camp-1.html,6-1,226,4.48,39.5,29,125,7.00,4.14,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
57,https://www.pro-football-reference.com/draft/2021-combine.htm,Tyson Campbell,DB,Georgia,https://www.sports-reference.com/cfb/players/tyson-campbell-1.html,6-1,193,4.40,34.5,12,124,7.15,4.45,Jacksonville Jaguars / 2nd / 33rd pick / 2021,2021,Jacksonville Jaguars , 2nd , 33rd pick , 2021,Drafted
58,https://www.pro-football-reference.com/draft/2021-combine.htm,Kyree Campbell,DL,Florida,https://www.sports-reference.com/cfb/players/kyree-campbell-1.html,6-2,287,5.46,25.0,,98,7.96,5.02,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
59,https://www.pro-football-reference.com/draft/2021-combine.htm,Donavaughn Campbell,OL,Louisiana Tech,https://www.sports-reference.com/cfb/players/donavaughn-campbell-1.html,6-4,336,5.62,22.0,,93,8.34,5.15,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
60,https://www.pro-football-reference.com/draft/2021-combine.htm,Joseph Carlson,PK,Air Force,https://www.sports-reference.com/cfb/players/joseph-carlson-1.html,6-0,175,,,,,,,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
61,https://www.pro-football-reference.com/draft/2021-combine.htm,Jackson Carman,OT,Clemson,https://www.sports-reference.com/cfb/players/jackson-carman-1.html,6-4,317,,,,,,,Cincinnati Bengals / 2nd / 46th pick / 2021,2021,Cincinnati Bengals , 2nd , 46th pick , 2021,Drafted
62,https://www.pro-football-reference.com/draft/2021-combine.htm,Michael Carter,RB,North Carolina,https://www.sports-reference.com/cfb/players/michael-carter-5.html,5-7,201,4.50,34.0,16,119,6.81,3.98,New York Jets / 4th / 107th pick / 2021,2021,New York Jets , 4th , 107th pick , 2021,Drafted
63,https://www.pro-football-reference.com/draft/2021-combine.htm,Tory Carter,FB,LSU,https://www.sports-reference.com/cfb/players/tory-carter-1.html,6-0,229,4.86,35.5,24,112,7.21,4.38,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
64,https://www.pro-football-reference.com/draft/2021-combine.htm,J.C. Chalk,TE,Clemson,https://www.sports-reference.com/cfb/players/jc-chalk-1.html,6-2,250,5.18,28.5,15,106,7.83,4.72,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
65,https://www.pro-football-reference.com/draft/2021-combine.htm,Ja'Marr Chase,WR,LSU,https://www.sports-reference.com/cfb/players/jamarr-chase-1.html,6-0,201,4.34,41.0,,132,6.96,3.99,Cincinnati Bengals / 1st / 5th pick / 2021,2021,Cincinnati Bengals , 1st , 5th pick , 2021,Drafted
66,https://www.pro-football-reference.com/draft/2021-combine.htm,Ramaud Chiaokhiao-Bowman,WR,Northwestern,https://www.sports-reference.com/cfb/players/ramaud-chiaokhiao-bowman-1.html,6-1,204,4.78,34.5,11,119,6.78,4.20,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
67,https://www.pro-football-reference.com/draft/2021-combine.htm,Drue Chrisman,P,Ohio St.,https://www.sports-reference.com/cfb/players/dru-chrisman-1.html,6-2,209,,,,,,,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
68,https://www.pro-football-reference.com/draft/2021-combine.htm,Brady Christensen,OL,BYU,https://www.sports-reference.com/cfb/players/brady-christensen-1.html,,,,34.0,30,124,,,Carolina Panthers / 3rd / 70th pick / 2021,2021,Carolina Panthers , 3rd , 70th pick , 2021,Drafted
69,https://www.pro-football-reference.com/draft/2021-combine.htm,Andre Cisco,DB,Syracuse,https://www.sports-reference.com/cfb/players/andre-cisco-1.html,,,,,17,,,,Jacksonville Jaguars / 3rd / 65th pick / 2021,2021,Jacksonville Jaguars , 3rd , 65th pick , 2021,Drafted
70,https://www.pro-football-reference.com/draft/2021-combine.htm,Mallory Claybourne,CB,Coastal Carolina,https://www.sports-reference.com/cfb/players/mallory-claybourne-1.html,5-9,191,4.57,33.0,12,116,7.37,4.32,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
71,https://www.pro-football-reference.com/draft/2021-combine.htm,Ben Cleveland,OL,Georgia,https://www.sports-reference.com/cfb/players/ben-cleveland-2.html,6-6,343,5.05,28.0,30,102,,4.88,Baltimore Ravens / 3rd / 94th pick / 2021,2021,Baltimore Ravens , 3rd , 94th pick , 2021,Drafted
72,https://www.pro-football-reference.com/draft/2021-combine.htm,Riley Cole,LB,South Alabama,https://www.sports-reference.com/cfb/players/riley-cole-1.html,6-2,240,4.72,,26,,7.46,4.35,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
73,https://www.pro-football-reference.com/draft/2021-combine.htm,Nico Collins,WR,Michigan,https://www.sports-reference.com/cfb/players/nico-collins-1.html,6-4,215,4.43,37.5,14,125,6.78,4.29,Houston Texans / 3rd / 89th pick / 2021,2021,Houston Texans , 3rd , 89th pick , 2021,Drafted
74,https://www.pro-football-reference.com/draft/2021-combine.htm,Zaven Collins,LB,Tulsa,https://www.sports-reference.com/cfb/players/zaven-collins-1.html,6-4,259,4.67,35.0,19,122,,4.36,Arizona Cardinals / 1st / 16th pick / 2021,2021,Arizona Cardinals , 1st , 16th pick , 2021,Drafted
75,https://www.pro-football-reference.com/draft/2021-combine.htm,Nolan Cooney,P,Syracuse,https://www.sports-reference.com/cfb/players/nolan-cooney-1.html,6-2,195,,,,,,,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
76,https://www.pro-football-reference.com/draft/2021-combine.htm,Jonathon Cooper,DE,Ohio St.,https://www.sports-reference.com/cfb/players/jonathon-cooper-1.html,6-2,253,4.69,33.0,28,108,6.99,4.31,Denver Broncos / 7th / 239th pick / 2021,2021,Denver Broncos , 7th , 239th pick , 2021,Drafted
77,https://www.pro-football-reference.com/draft/2021-combine.htm,Samuel Cosmi,OL,Texas,https://www.sports-reference.com/cfb/players/samuel-cosmi-1.html,6-5,314,4.87,30.0,36,117,7.35,4.39,Washington Football Team / 2nd / 51st pick / 2021,2021,Washington Football Team , 2nd , 51st pick , 2021,Drafted
78,https://www.pro-football-reference.com/draft/2021-combine.htm,Seth Cottengim,S,Arkansas St.,https://www.sports-reference.com/cfb/players/seth-cottengim-1.html,5-11,230,,28.5,,,,,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
79,https://www.pro-football-reference.com/draft/2021-combine.htm,Jabril Cox,LB,LSU,https://www.sports-reference.com/cfb/players/jabril-cox-1.html,6-3,232,,,,,,,Dallas Cowboys / 4th / 115th pick / 2021,2021,Dallas Cowboys , 4th , 115th pick , 2021,Drafted
80,https://www.pro-football-reference.com/draft/2021-combine.htm,Damonte Coxie,WR,Memphis,https://www.sports-reference.com/cfb/players/damonte-coxie-1.html,6-2,198,4.77,30.5,4,122,6.92,4.45,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
81,https://www.pro-football-reference.com/draft/2021-combine.htm,Tyler Coyle,LB,Purdue,https://www.sports-reference.com/cfb/players/tyler-coyle-1.html,6-1,209,4.38,39.0,24,133,7.14,4.00,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
82,https://www.pro-football-reference.com/draft/2021-combine.htm,Jack Crane,K,Wake Forest,https://www.sports-reference.com/cfb/players/jack-crane-1.html,6-1,193,,,,,,,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
83,https://www.pro-football-reference.com/draft/2021-combine.htm,Daniel Crawford,TE,Northern Illinois,https://www.sports-reference.com/cfb/players/daniel-crawford-1.html,6-1,245,4.70,32.5,14,113,7.19,4.45,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
84,https://www.pro-football-reference.com/draft/2021-combine.htm,Shaun Crawford,S,Notre Dame,https://www.sports-reference.com/cfb/players/shaun-crawford-1.html,5-9,182,4.55,35.0,12,116,6.70,4.13,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
85,https://www.pro-football-reference.com/draft/2021-combine.htm,Harry Crider,OL,Indiana,https://www.sports-reference.com/cfb/players/harry-crider-1.html,6-2,307,5.25,27.0,31,102,7.63,4.68,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
86,https://www.pro-football-reference.com/draft/2021-combine.htm,Jake Curhan,OL,California,https://www.sports-reference.com/cfb/players/jake-curhan-1.html,6-5,316,5.45,24.0,15,102,8.07,4.84,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
87,https://www.pro-football-reference.com/draft/2021-combine.htm,David Curry,LB,Georgia Tech,https://www.sports-reference.com/cfb/players/david-curry-1.html,6-1,227,,,,,,,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
88,https://www.pro-football-reference.com/draft/2021-combine.htm,Drew Dalman,C,Stanford,https://www.sports-reference.com/cfb/players/drew-dalman-1.html,6-3,299,5.11,33.0,33,109,7.33,4.52,Atlanta Falcons / 4th / 114th pick / 2021,2021,Atlanta Falcons , 4th , 114th pick , 2021,Drafted
89,https://www.pro-football-reference.com/draft/2021-combine.htm,DJ Daniel,DB,Georgia,https://www.sports-reference.com/cfb/players/dj-daniel-2.html,5-11,195,4.62,31.0,11,119,7.02,4.12,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
90,https://www.pro-football-reference.com/draft/2021-combine.htm,Frank Darby,WR,Arizona St.,https://www.sports-reference.com/cfb/players/frank-darby-1.html,6-0,201,4.56,34.5,19,117,7.05,4.25,Atlanta Falcons / 6th / 187th pick / 2021,2021,Atlanta Falcons , 6th , 187th pick , 2021,Drafted
91,https://www.pro-football-reference.com/draft/2021-combine.htm,Jaelon Darden,WR,North Texas,https://www.sports-reference.com/cfb/players/jaelon-darden-1.html,5-7,174,4.47,35.5,,122,6.66,3.98,Tampa Bay Buccaneers / 4th / 129th pick / 2021,2021,Tampa Bay Buccaneers , 4th , 129th pick , 2021,Drafted
92,https://www.pro-football-reference.com/draft/2021-combine.htm,Corey Dauphine,RB,Tulane,https://www.sports-reference.com/cfb/players/corey-dauphine-1.html,5-11,198,4.71,30.0,14,117,7.40,4.53,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
93,https://www.pro-football-reference.com/draft/2021-combine.htm,Zach Davidson,TE,Central Missouri St.,/td,6-6,245,4.58,37.5,17,117,6.95,4.19,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
94,https://www.pro-football-reference.com/draft/2021-combine.htm,Brady Davis,QB,Memphis,https://www.sports-reference.com/cfb/players/brady-davis-2.html,,,4.65,31.0,,114,7.06,4.20,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
95,https://www.pro-football-reference.com/draft/2021-combine.htm,Wyatt Davis,OL,Ohio St.,https://www.sports-reference.com/cfb/players/wyatt-davis-1.html,6-3,315,,,25,,,,Minnesota Vikings / 3rd / 86th pick / 2021,2021,Minnesota Vikings , 3rd , 86th pick , 2021,Drafted
96,https://www.pro-football-reference.com/draft/2021-combine.htm,Shawn Davis,DB,Florida,https://www.sports-reference.com/cfb/players/shawn-davis-3.html,5-10,202,,39.5,17,128,,,Indianapolis Colts / 5th / 165th pick / 2021,2021,Indianapolis Colts , 5th , 165th pick , 2021,Drafted
97,https://www.pro-football-reference.com/draft/2021-combine.htm,Jamin Davis,LB,Kentucky,https://www.sports-reference.com/cfb/players/jamin-davis-1.html,6-3,234,4.47,42.0,,132,,,Washington Football Team / 1st / 19th pick / 2021,2021,Washington Football Team , 1st , 19th pick , 2021,Drafted
